gene,sample_id,disease_state,tissue,species,cells,mean_log_normalized_expression,pct_detected,validation_role
TIMP1,blood3,blood_reference,blood,Homo sapiens,8140,0.532112814272492,32.93611793611794,secreted_matrix_remodeling
TIMP1,blood4,blood_reference,blood,Homo sapiens,7067,0.9067609559263631,54.0965048818452,secreted_matrix_remodeling
SMOC2,blood1,blood_reference,blood,Homo sapiens,8921,0,0,secreted_stromal_biomarker
SMOC2,blood2,blood_reference,blood,Homo sapiens,6636,0,0,secreted_stromal_biomarker
SMOC2,blood3,blood_reference,blood,Homo sapiens,8140,0,0,secreted_stromal_biomarker
SMOC2,blood4,blood_reference,blood,Homo sapiens,7067,1.361904117957653e-4,0.014150275930380644,secreted_stromal_biomarker
PDGFRA,blood1,blood_reference,blood,Homo sapiens,8921,9.451126524119191e-4,0.05604752830400179,stromal_receptor_target
PDGFRA,blood2,blood_reference,blood,Homo sapiens,6636,7.571803821855838e-4,0.045207956600361664,stromal_receptor_target
PDGFRA,blood3,blood_reference,blood,Homo sapiens,8140,6.21583743090295e-4,0.036855036855036855,stromal_receptor_target
PDGFRA,blood4,blood_reference,blood,Homo sapiens,7067,2.01157603787068e-4,0.014150275930380644,stromal_receptor_target
PDGFRB,blood1,blood_reference,blood,Homo sapiens,8921,0.005060741640701937,0.33628516982401074,stromal_receptor_target
PDGFRB,blood2,blood_reference,blood,Homo sapiens,6636,0.00638211808828691,0.42194092827004215,stromal_receptor_target
PDGFRB,blood3,blood_reference,blood,Homo sapiens,8140,0.0075341944902212145,0.5651105651105651,stromal_receptor_target
PDGFRB,blood4,blood_reference,blood,Homo sapiens,7067,0.009864159978453432,0.7358143483797934,stromal_receptor_target
